Ticker,Shares
CSCO,619.4590851240882
RY.TO,264.77251154725707
COST,39.48248860854164
SU.TO,879.065955024156
GOOG,133.3290151521428
LOW,136.73901063247123
SPG,174.54030219008436
TD,409.3175453969697
BK,253.52666366500281
ABBV,139.31563339877852
GM,471.50336742774493
BTC-USD,0.20599311697498018
TD.TO,393.296183123025
SAP.TO,1261.823546618769
AMZN,120.12808022796425
CMCSA,1217.2035365386434
AXP,61.170852883578384
PEP,234.45960367054735
EXE.TO,1322.7252756771218
AIM.TO,9230.587730974794
AW.TO,999.1852053850961
SLB,828.8866078293561
FTG.TO,1727.0817054084682
ORCL,50.205825334427956
SHOP,95.2765077976786
